"ENSG00000226286",0,0,0,0,0,1,0,0,0,0
"ENSG00000279839",28,36,28,5,4,11,9,9,9,4
"ENSG00000272235",8,3,10,6,6,9,9,3,11,6
"ENSG00000130762",60,22,93,74,60,31,94,126,97,78
"ENSG00000272088",0,0,2,0,0,0,0,0,0,6
"ENSG00000162591",140,94,175,342,204,43,361,278,243,349
"ENSG00000207776",0,0,1,0,0,0,0,0,0,0
"ENSG00000238260",83,160,249,135,109,57,165,143,226,111
"ENSG00000158109",750,724,2525,4494,4226,571,3559,4610,3947,3961
"ENSG00000116213",202,204,441,685,531,157,692,713,639,589
"ENSG00000078900",25,28,58,22,19,15,67,24,29,14
"ENSG00000235131",1,2,0,1,0,0,1,0,0,0
"ENSG00000227372",217,226,384,513,468,183,635,685,683,588
"ENSG00000162592",2,4,0,2,5,2,2,6,3,6
"ENSG00000235169",8,5,24,8,20,8,25,17,23,16
"ENSG00000130764",472,393,1246,1891,1629,370,1679,1897,1645,1853
"ENSG00000266075",2,4,7,8,2,1,4,5,9,3
"ENSG00000272153",4,8,4,25,9,4,13,17,25,20
"ENSG00000116198",522,685,882,724,735,454,1196,996,996,852
"ENSG00000169598",103,167,339,364,244,69,372,419,360,288
"ENSG00000198912",202,104,265,285,254,117,471,449,443,365
"ENSG00000236423",2,6,11,3,3,1,17,10,17,4
"ENSG00000233304",0,1,11,8,11,0,11,28,5,10
"ENSG00000226374",2,0,4,3,4,1,5,6,3,8
"ENSG00000235054",1,0,0,0,0,1,0,0,2,1
"ENSG00000232596",0,0,0,1,0,0,0,0,0,0
"ENSG00000196581",193,437,925,1092,979,219,1221,1626,861,1358
"ENSG00000231510",0,0,0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,1,0,0,0
"ENSG00000264341",0,0,0,1,0,0,0,2,0,0
"ENSG00000236948",2,2,4,4,0,0,2,3,1,3
"ENSG00000216045",0,0,0,1,0,0,0,0,0,0
"ENSG00000264101",0,0,0,0,0,1,0,0,0,0
"ENSG00000131697",245,162,421,650,775,156,697,829,612,796
"ENSG00000266687",0,0,0,0,0,0,0,1,0,0
"ENSG00000069424",1707,2840,9386,13852,13321,2112,11069,15275,12255,13849
"ENSG00000116254",3563,8819,11087,14008,11206,2919,11453,12100,9478,12854
"ENSG00000116251",1071,1147,1924,3196,2199,1154,3473,2747,2338,2550
"ENSG00000226944",15,37,50,35,21,8,29,33,42,22
