"","SamplesName","SubjectName","nCount_RNA","nFeature_RNA","priCluster","Age_in_Weeks","Area","Period","protocal","dataset","Age","Sex","cluster1","Age_in_days","cluster","WGCNAcluster","RegionName","Laminae","cellType","cellType_sub","deconv_clust"
"638","S25.G6","Sample14",875208.775827536,1404,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"639","S25.C7","Sample14",873759.369591794,1790,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"640","S25.A8","Sample14",874718.353878297,1503,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"641","S25.B8","Sample14",882451.039516115,1448,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"642","S25.E10","Sample14",891894.373177276,1774,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"643","S25.B12","Sample14",869445.746960532,1721,"nIN3",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN3","GE","0","InN","InN5","Neuro"
"644","S25.D12","Sample14",896376.241081608,2254,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"645","S25.H12","Sample14",909662.005898048,2233,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"646","S26.E1","Sample15",836186.497759399,1369,"IN-CTX-MGE2",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE2","Cortex","All","InN","InN5","Neuro"
"647","S26.G1","Sample15",873417.779938484,1414,"IN-CTX-MGE1",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE1","Cortex","All","InN","InN5","Neuro"
"648","S26.B2","Sample15",887098.519220603,1689,"IN-CTX-MGE2",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE2","Cortex","All","InN","InN5","Neuro"
"649","S26.D3","Sample15",890701.67927152,1391,"IN-CTX-MGE2",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE2","Cortex","All","InN","InN5","Neuro"
"650","S26.A4","Sample15",873196.155370255,1573,"nEN-late",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nEN-late","Cortex","All","InN","InN5","Neuro"
"651","S26.F4","Sample15",892146.335940498,1653,"IN-CTX-MGE1",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE1","Cortex","All","InN","InN5","Neuro"
"652","S26.D5","Sample15",898523.617643985,1623,"nEN-late",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nEN-late","Cortex","All","InN","InN5","Neuro"
"653","S26.H5","Sample15",873447.528110064,1726,"IN-CTX-MGE1",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE1","Cortex","All","InN","InN5","Neuro"
"654","S26.B6","Sample15",868458.769417956,1678,"IN-CTX-MGE1",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE1","Cortex","All","InN","InN5","Neuro"
"655","S26.A8","Sample15",908955.859978863,1366,"IN-CTX-MGE1",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE1","Cortex","All","InN","InN5","Neuro"
"656","S26.F8","Sample15",886899.884505306,1645,"IN-CTX-MGE2",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE2","Cortex","All","InN","InN5","Neuro"
"657","S26.B10","Sample15",882791.093637057,1942,"nEN-early2",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nEN-early2","Cortex","All","InN","InN5","Neuro"
"658","S26.E11","Sample15",907314.462816308,1278,"IN-CTX-MGE1",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE1","Cortex","All","InN","InN5","Neuro"
"659","S26.D12","Sample15",889001.815598314,1423,"IN-CTX-MGE2",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-MGE2","Cortex","All","InN","InN5","Neuro"
"660","S26.F12","Sample15",868037.609222234,1512,"IN-CTX-CGE1",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","IN-CTX-CGE1","Cortex","All","InN","InN5","Neuro"
"661","S28.E1","Sample15",897110.183519991,1193,"nIN5",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN5","GE","0","InN","InN5","Neuro"
"662","S28.F1","Sample15",868305.845079213,1205,"nIN4",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN4","GE","0","InN","InN5","Neuro"
"663","S28.E2","Sample15",882174.032637195,1403,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"664","S28.G2","Sample15",893354.164677205,1690,"nIN4",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN4","GE","0","InN","InN5","Neuro"
"665","S28.C3","Sample16",883627.6733679,1252,"IN-CTX-MGE2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","IN-CTX-MGE2","Cortex","GZ","InN","InN5","Neuro"
"666","S28.D3","Sample15",878990.410909966,1442,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"667","S28.G3","Sample15",885856.184702193,1588,"nIN4",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN4","GE","0","InN","InN5","Neuro"
"668","S28.H3","Sample15",919049.98663312,1212,"nIN2",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"669","S28.A4","Sample15",851451.750983103,1387,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"670","S28.C4","Sample15",881218.105847121,1253,"nIN2",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"671","S28.E4","Sample15",879181.162747666,1555,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"672","S28.F4","Sample15",887030.707638676,1286,"nIN2",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"673","S28.A5","Sample15",831132.786309238,1209,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"674","S28.B5","Sample15",903713.682019274,1544,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"675","S28.D5","Sample15",840489.630454,1118,"nIN2",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"676","S28.E5","Sample15",850842.852908198,1330,"nIN2",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"677","S28.B6","Sample16",891383.795709602,1121,"IN-CTX-MGE2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","IN-CTX-MGE2","Cortex","GZ","InN","InN5","Neuro"
"678","S28.B7","Sample15",864720.316023891,1252,"nIN2",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"679","S28.A9","Sample15",862041.052366855,1648,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"680","S28.D9","Sample15",883164.485290737,1368,"nIN2",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"681","S28.G9","Sample15",895118.46950248,5600,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"682","S28.A10","Sample15",878225.764068829,1584,"nIN4",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN4","GE","0","InN","InN5","Neuro"
"683","S28.D10","Sample15",889184.621326424,1715,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"684","S28.A11","Sample15",870146.570360252,1337,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"685","S28.H11","Sample15",813322.787344301,1201,"nIN2",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"686","S28.C12","Sample15",871739.17426457,1384,"nIN1",17.3,"MGE","P5","Fluidigm C1","h1",NA,"Female","InN5",121.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"687","S35.B5","Sample18",876502.8240394,1198,"IN-CTX-MGE1",15,"PFC","P4","Fluidigm C1","h1",NA,"Female","InN5",105,"InN","IN-CTX-MGE1","Cortex","0","InN","InN5","Neuro"
"688","S41.D1","Sample20",882479.489303704,1231,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"689","S41.E1","Sample20",865427.1875416,1100,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"690","S41.C2","Sample20",886262.969005561,1323,"IN-CTX-CGE1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","IN-CTX-CGE1","GE","0","InN","InN5","Neuro"
"691","S41.D2","Sample20",880597.566427495,1245,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"692","S41.C3","Sample20",850786.7505597,1234,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"693","S41.G3","Sample20",836875.8778469,1520,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"694","S41.B4","Sample20",856327.386359252,1397,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"695","S41.E4","Sample20",869814.101182903,1823,"nEN-late",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nEN-late","GE","0","InN","InN5","Neuro"
"696","S41.B5","Sample20",887644.629995359,1103,"IN-STR",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","IN-STR","GE","0","InN","InN5","Neuro"
"697","S41.C6","Sample20",864294.806157452,1464,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"698","S41.D6","Sample20",869389.331446598,1075,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"699","S41.G6","Sample20",912289.442578702,1154,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"700","S41.E7","Sample20",868002.040650965,1629,"IN-CTX-MGE1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","IN-CTX-MGE1","GE","0","InN","InN5","Neuro"
"701","S41.C8","Sample20",855362.323189902,1286,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"702","S41.H8","Sample20",875603.566234397,1536,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"703","S41.B9","Sample20",888534.662128198,1261,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"704","S41.C10","Sample20",862133.230419093,1134,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"705","S45.B3","Sample23",911902.393010171,1512,"IN-CTX-MGE1",21.5,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",150.5,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"706","S45.F3","Sample23",897159.668955856,1844,"IN-CTX-MGE2",21.5,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",150.5,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"707","S45.E4","Sample23",873691.8288443,1377,"nEN-late",21.5,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",150.5,"InN","nEN-late","Cortex","CP","InN","InN5","Neuro"
"708","S45.G4","Sample23",809219.092605788,1878,"nEN-early2",21.5,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",150.5,"InN","nEN-early2","Cortex","CP","InN","InN5","Neuro"
"709","S45.E7","Sample23",883202.092815651,2005,"IN-CTX-MGE2",21.5,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",150.5,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"710","S45.F8","Sample23",905498.543697691,1524,"IN-CTX-MGE2",21.5,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",150.5,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"711","S50.H7","Sample9",897318.553894832,1833,"nIN3",11,"MGE","P3","Fluidigm C1","h1",NA,"Male","InN5",77,"InN","nIN3","GE","0","InN","InN5","Neuro"
"712","S50.B9","Sample9",884293.602585876,1810,"nIN3",11,"MGE","P3","Fluidigm C1","h1",NA,"Male","InN5",77,"InN","nIN3","GE","0","InN","InN5","Neuro"
"713","S51.G7","Sample12",828410.435257747,1249,"nIN5",13,"MGE","P4","Fluidigm C1","h1",NA,"Male","InN5",91,"InN","nIN5","GE","0","InN","InN5","Neuro"
"714","S51.H7","Sample12",881954.914571381,1461,"nIN3",13,"MGE","P4","Fluidigm C1","h1",NA,"Male","InN5",91,"InN","nIN3","GE","0","InN","InN5","Neuro"
"715","S51.D8","Sample12",892549.295609849,1204,"nIN3",13,"MGE","P4","Fluidigm C1","h1",NA,"Male","InN5",91,"InN","nIN3","GE","0","InN","InN5","Neuro"
"716","S51.E9","Sample12",862021.201910225,1332,"nIN2",13,"MGE","P4","Fluidigm C1","h1",NA,"Male","InN5",91,"InN","nIN2","GE","0","InN","InN5","Neuro"
"717","S51.D10","Sample12",874166.434577704,1853,"IN-CTX-MGE1",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","InN5",91,"InN","IN-CTX-MGE1","Cortex","VZ","InN","InN5","Neuro"
"718","S51.G11","Sample12",923694.132948934,1978,"IN-CTX-MGE1",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","InN5",91,"InN","IN-CTX-MGE1","Cortex","VZ","InN","InN5","Neuro"
"719","S52.D3","Sample12",894701.957569835,2144,"nEN-late",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","InN5",91,"InN","nEN-late","Cortex","SVZ","InN","InN5","Neuro"
"720","S52.F6","Sample11",901094.668990797,1613,"IN-CTX-MGE1",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","InN5",133,"InN","IN-CTX-MGE1","GE","0","InN","InN5","Neuro"
"721","S52.D7","Sample11",893857.249777745,1589,"nIN3",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","InN5",133,"InN","nIN3","GE","0","InN","InN5","Neuro"
"722","S52.H7","Sample11",882579.291846802,1523,"IN-CTX-CGE1",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","InN5",133,"InN","IN-CTX-CGE1","GE","0","InN","InN5","Neuro"
"723","S52.D9","Sample11",901312.901187708,2148,"IN-CTX-CGE1",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","InN5",133,"InN","IN-CTX-CGE1","GE","0","InN","InN5","Neuro"
"724","S52.A10","Sample13",885559.143548891,1189,"nIN2",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","nIN2","GE","0","InN","InN5","Neuro"
"725","S52.B10","Sample13",864782.423767115,1131,"nIN2",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","nIN2","GE","0","InN","InN5","Neuro"
"726","S52.E10","Sample13",861558.250992219,1423,"nIN2",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","nIN2","GE","0","InN","InN5","Neuro"
"727","S52.D11","Sample13",883102.783845572,1249,"nIN2",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","nIN2","GE","0","InN","InN5","Neuro"
"728","S52.E12","Sample13",878065.932709165,1588,"nIN4",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","nIN4","GE","0","InN","InN5","Neuro"
"729","S53.D1","Sample13",904324.704523804,1128,"vRG",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","vRG","Cortex","All","InN","InN5","Neuro"
"730","S53.E1","Sample13",899612.977668358,1404,"IPC-nEN2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","InN5",99.4,"InN","IPC-nEN2","Cortex","All","InN","InN5","Neuro"
"731","S54.G9","Sample20",894739.126336627,1664,"IN-CTX-MGE1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","IN-CTX-MGE1","GE","0","InN","InN5","Neuro"
"732","S54.C10","Sample20",875189.536799902,1693,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN1","GE","0","InN","InN5","Neuro"
"733","S54.D11","Sample20",872313.127328265,1257,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"734","S54.G11","Sample20",885029.726584148,1444,"nIN2",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","InN5",93.1,"InN","nIN2","GE","0","InN","InN5","Neuro"
"735","S57.A1","Sample26",893940.107576894,1363,"IN-CTX-MGE1",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"736","S57.E1","Sample26",894935.071185051,1649,"IN-CTX-MGE2",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"737","S57.E2","Sample26",917262.090970199,1628,"IN-CTX-MGE1",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"738","S57.G2","Sample26",930011.751796513,1503,"IN-CTX-MGE1",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"739","S57.D5","Sample26",887015.145383104,2004,"IN-CTX-MGE1",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"740","S57.E5","Sample26",888239.750789757,1868,"IN-CTX-MGE1",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"741","S57.H5","Sample26",886572.843127904,1862,"IN-CTX-MGE1",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"742","S57.A6","Sample26",868634.77674585,1322,"IN-CTX-MGE2",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"743","S57.D8","Sample26",868988.751303317,1529,"IN-CTX-MGE2",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"744","S57.F8","Sample26",889287.634714413,1809,"IN-CTX-MGE2",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"745","S57.A10","Sample26",876139.723678857,1952,"IN-CTX-MGE1",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"746","S57.E10","Sample26",870791.709013233,1629,"IN-CTX-MGE2",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"747","S57.C12","Sample26",880630.133163303,1744,"IN-CTX-MGE1",20,"PFC","P6","Fluidigm C1","h1",NA,"Female","InN5",140,"InN","IN-CTX-MGE1","Cortex","CP","InN","InN5","Neuro"
"748","S79.C2","Sample28",880867.992858149,1073,"IN-CTX-MGE2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","InN5",133,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"749","S79.D6","Sample28",839791.635642763,1028,"IN-CTX-MGE2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","InN5",133,"InN","IN-CTX-MGE2","Cortex","CP","InN","InN5","Neuro"
"750","S80.E7","Sample29",909549.758215857,1730,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"751","S80.F7","Sample29",886806.048777461,1651,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"752","S80.G7","Sample29",883682.977024783,1976,"IN-CTX-MGE1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","IN-CTX-MGE1","GE","All","InN","InN5","Neuro"
"753","S80.D8","Sample29",866276.634316789,1983,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"754","S80.F8","Sample29",893804.114828539,1983,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"755","S80.D9","Sample29",911954.769107234,1525,"nIN3",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN3","GE","All","InN","InN5","Neuro"
"756","S80.F9","Sample29",873700.988628783,2668,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"757","S80.H9","Sample29",887447.035118974,1825,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"758","S80.A10","Sample29",894120.388341397,1680,"nIN3",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN3","GE","All","InN","InN5","Neuro"
"759","S80.F11","Sample29",855147.803085,1953,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"760","S80.G11","Sample29",885891.498883849,2121,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"761","S80.G12","Sample29",884802.518763076,2302,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"762","S80.H12","Sample29",893827.423539056,2291,"IN-CTX-MGE2",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","IN-CTX-MGE2","GE","All","InN","InN5","Neuro"
"763","S82.A1","Sample29",866308.56579578,1553,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"764","S82.B1","Sample29",862487.298528494,1953,"RG-div1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","RG-div1","GE","All","InN","InN5","Neuro"
"765","S82.C1","Sample29",913303.366458836,2566,"IN-CTX-MGE2",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","IN-CTX-MGE2","GE","All","InN","InN5","Neuro"
"766","S82.G1","Sample29",882133.660672897,2134,"IPC-nEN3",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","IPC-nEN3","GE","All","InN","InN5","Neuro"
"767","S82.H1","Sample29",880128.065439409,2050,"nEN-early2",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nEN-early2","GE","All","InN","InN5","Neuro"
"768","S82.B2","Sample29",855842.534867526,1874,"nIN1",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN1","GE","All","InN","InN5","Neuro"
"769","S82.G2","Sample29",878388.993626869,2022,"nIN3",11.5,"MGE","P3","Fluidigm C1","h1",NA,"Female","InN5",80.5,"InN","nIN3","GE","All","InN","InN5","Neuro"
"770","S85.H1","Sample32",886657.632055604,2214,"IN-CTX-MGE2",17.5,"PFC","P5","Fluidigm C1","h1",NA,"Male","InN5",122.5,"InN","IN-CTX-MGE2","Cortex","All","InN","InN5","Neuro"
"771","S85.C2","Sample32",905018.018555363,1516,"IN-CTX-MGE1",17.5,"PFC","P5","Fluidigm C1","h1",NA,"Male","InN5",122.5,"InN","IN-CTX-MGE1","Cortex","All","InN","InN5","Neuro"
"772","S85.D2","Sample32",890093.462083033,2175,"IN-CTX-MGE2",17.5,"PFC","P5","Fluidigm C1","h1",NA,"Male","InN5",122.5,"InN","IN-CTX-MGE2","Cortex","All","InN","InN5","Neuro"
"773","S85.G6","Sample32",843611.51825638,1305,"IN-CTX-CGE1",17.5,"PFC","P5","Fluidigm C1","h1",NA,"Male","InN5",122.5,"InN","IN-CTX-CGE1","Cortex","All","InN","InN5","Neuro"
